Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,Market Cap,Volume,Circulating Supply,Extraction Time
64,THORChain,RUNE,$6.21,0.92%,-2.61%,"$2,135,275,655","$228,633,549","343,765,043 RUNE",2024-12-15 10:30:10
65,First Digital USD,FDUSD,$0.9999,0.01%,-0.34%,"$2,032,479,907","$4,816,827,168","2,032,769,625 FDUSD",2024-12-15 10:30:10
66,Lido DAO,LDO,$2.17,0.67%,-5.64%,"$1,941,245,304","$281,203,008","896,268,511 LDO",2024-12-15 10:30:10
67,Gala,GALA,$0.04967,1.24%,-2.01%,"$1,815,301,232","$242,660,172","36,544,885,722 GALA",2024-12-15 10:30:10
68,The Sandbox,SAND,$0.725,1.37%,-5.15%,"$1,761,860,350","$335,145,305","2,430,232,126 SAND",2024-12-15 10:30:10
69,Kaia,KAIA,$0.2976,-0.41%,1.90%,"$1,754,015,095","$192,887,504","5,894,275,073 KAIA",2024-12-15 10:30:10
70,Maker,MKR,"$1,918.47",0.37%,-6.12%,"$1,709,156,935","$117,522,682","890,895 MKR",2024-12-15 10:30:10
71,Beam,BEAM,$0.03402,0.92%,-4.55%,"$1,682,908,094","$52,784,306","49,466,004,168 BEAM",2024-12-15 10:30:10
72,Flare,FLR,$0.03002,0.68%,-5.57%,"$1,643,727,413","$17,286,026","54,748,784,097 FLR",2024-12-15 10:30:10
73,Brett (Based),BRETT,$0.165,1.36%,-7.73%,"$1,635,100,204","$54,030,315","9,910,236,395 BRETT",2024-12-15 10:30:10
74,Helium,HNT,$9.33,3.23%,11.66%,"$1,631,420,579","$104,719,707","174,845,606 HNT",2024-12-15 10:30:10
75,Quant,QNT,$134.44,0.17%,-6.00%,"$1,623,052,968","$29,013,342","12,072,738 QNT",2024-12-15 10:30:10
76,EOS,EOS,$1.04,0.95%,-4.23%,"$1,596,391,956","$226,453,332","1,533,758,002 EOS",2024-12-15 10:30:10
77,KuCoin Token,KCS,$13.16,0.05%,-2.73%,"$1,581,784,909","$1,462,101","120,225,681 KCS",2024-12-15 10:30:10
78,Pyth Network,PYTH,$0.4255,0.89%,-5.73%,"$1,542,373,487","$110,109,559","3,624,988,786 PYTH",2024-12-15 10:30:10
79,Ethereum Name Service,ENS,$43.85,0.74%,1.70%,"$1,541,136,198","$547,716,053","35,144,092 ENS",2024-12-15 10:30:10
80,Raydium,RAY,$5.19,1.21%,-6.43%,"$1,511,118,483","$128,052,911","290,912,824 RAY",2024-12-15 10:30:10
81,Jupiter,JUP,$1.07,0.72%,-4.09%,"$1,444,540,997","$101,728,864","1,350,000,000 JUP",2024-12-15 10:30:10
82,Flow,FLOW,$0.9268,0.93%,-5.02%,"$1,437,122,156","$77,214,443","1,550,566,852 FLOW",2024-12-15 10:30:10
83,Tezos,XTZ,$1.40,0.96%,-3.91%,"$1,429,382,544","$71,201,547","1,018,651,339 XTZ",2024-12-15 10:30:10
84,Curve DAO Token,CRV,$1.14,0.64%,-11.74%,"$1,421,558,574","$567,975,146","1,252,456,391 CRV",2024-12-15 10:30:10
85,Arweave,AR,$21.51,0.30%,-4.74%,"$1,412,139,888","$106,326,966","65,652,466 AR",2024-12-15 10:30:10
86,Aerodrome Finance,AERO,$1.98,-0.07%,-3.72%,"$1,405,493,982","$58,559,158","710,168,031 AERO",2024-12-15 10:30:10
87,Starknet,STRK,$0.6169,1.25%,-4.94%,"$1,393,669,044","$108,890,354","2,259,283,720 STRK",2024-12-15 10:30:10
88,IOTA,IOTA,$0.3856,1.12%,-5.07%,"$1,370,822,269","$50,322,264","3,554,846,536 IOTA",2024-12-15 10:30:10
89,Movement,MOVE,$0.6082,0.52%,-4.79%,"$1,368,357,195","$339,076,483","2,250,000,000 MOVE",2024-12-15 10:30:10
90,dYdX (Native),DYDX,$2.05,0.55%,-4.94%,"$1,317,684,818","$75,144,044","643,931,707 DYDX",2024-12-15 10:30:10
91,Bitcoin SV,BSV,$64.70,0.78%,-3.06%,"$1,280,888,189","$66,496,720","19,797,547 BSV",2024-12-15 10:30:10
92,MultiversX,EGLD,$46.03,1.18%,-4.12%,"$1,273,059,265","$59,124,286","27,654,822 EGLD",2024-12-15 10:30:10
93,Core,CORE,$1.36,0.46%,-5.94%,"$1,260,256,215","$66,690,516","928,953,393 CORE",2024-12-15 10:30:10
94,BitTorrent [New],BTT,$0.051294,0.70%,-4.04%,"$1,252,915,344","$32,218,202","968,246,428,571,000 BTT",2024-12-15 10:30:10
95,Neo,NEO,$17.60,0.73%,-4.44%,"$1,241,254,960","$51,162,261","70,538,831 NEO",2024-12-15 10:30:10
96,AIOZ Network,AIOZ,$1.07,-0.18%,-4.19%,"$1,221,672,573","$15,036,356","1,143,594,817 AIOZ",2024-12-15 10:30:10
97,GateToken,GT,$13.39,1.08%,0.59%,"$1,187,815,051","$9,557,475","88,721,911 GT",2024-12-15 10:30:10
98,Decentraland,MANA,$0.6078,0.84%,-3.75%,"$1,180,559,423","$128,589,089","1,942,255,184 MANA",2024-12-15 10:30:10
99,XDC Network,XDC,$0.07869,0.36%,-5.54%,"$1,175,006,833","$31,358,793","14,932,919,360 XDC",2024-12-15 10:30:10
100,Axie Infinity,AXS,$7.49,0.89%,-4.71%,"$1,167,529,073","$99,528,685","155,801,117 AXS",2024-12-15 10:30:10
101,Polygon,MATIC,$0.5936,0.96%,-3.88%,"$1,161,725,044","$5,508,110","1,957,223,946 MATIC",2024-12-15 10:30:21
102,ApeCoin,APE,$1.52,0.66%,-5.40%,"$1,146,284,585","$176,914,005","752,651,515 APE",2024-12-15 10:30:21
103,Mog Coin,MOG,$0.052923,1.53%,-3.78%,"$1,141,706,192","$35,060,263","390,567,526,433,217 MOG",2024-12-15 10:30:21
104,Peanut the Squirrel,PNUT,$1.14,1.38%,-5.62%,"$1,136,075,260","$367,025,757","999,854,823 PNUT",2024-12-15 10:30:21
105,Popcat (SOL),POPCAT,$1.11,2.21%,-5.85%,"$1,083,757,891","$118,407,295","979,973,185 POPCAT",2024-12-15 10:30:21
106,Chiliz,CHZ,$0.1091,0.74%,-4.67%,"$1,004,116,590","$127,052,253","9,206,791,217 CHZ",2024-12-15 10:30:21
107,Synthetix,SNX,$2.90,0.44%,-7.69%,"$983,280,071","$72,869,329","339,466,217 SNX",2024-12-15 10:30:21
108,EigenLayer,EIGEN,$4.65,0.75%,-3.56%,"$980,612,702","$164,751,003","210,808,570 EIGEN",2024-12-15 10:30:21
109,SuperVerse,SUPER,$2.00,0.78%,-2.66%,"$977,962,178","$31,496,174","488,035,093 SUPER",2024-12-15 10:30:21
110,Mina,MINA,$0.8067,0.54%,-6.12%,"$963,272,023","$112,452,925","1,194,100,321 MINA",2024-12-15 10:30:21
111,Conflux,CFX,$0.2034,0.80%,-5.19%,"$961,265,863","$81,801,396","4,725,517,222 CFX",2024-12-15 10:30:21
112,Pendle,PENDLE,$5.82,0.50%,-1.95%,"$959,369,167","$45,220,344","164,772,506 PENDLE",2024-12-15 10:30:21
113,Nexo,NEXO,$1.47,0.84%,-0.16%,"$946,726,109","$8,100,102","646,145,840 NEXO",2024-12-15 10:30:21
114,Zcash,ZEC,$57.51,0.84%,-3.86%,"$939,046,733","$121,083,202","16,328,269 ZEC",2024-12-15 10:30:21
115,Compound,COMP,$105.53,0.55%,-4.06%,"$933,838,021","$78,434,568","8,848,704 COMP",2024-12-15 10:30:21
116,Akash Network,AKT,$3.74,0.82%,-4.63%,"$928,891,728","$10,279,965","248,285,795 AKT",2024-12-15 10:30:21
117,PancakeSwap,CAKE,$3.20,0.85%,-5.85%,"$925,445,969","$132,046,833","288,918,681 CAKE",2024-12-15 10:30:21
118,FTX Token,FTT,$2.80,0.92%,-1.97%,"$919,941,169","$31,827,432","328,895,104 FTT",2024-12-15 10:30:21
119,Wormhole,W,$0.3226,1.18%,-1.36%,"$894,641,625","$122,707,335","2,773,552,635 W",2024-12-15 10:30:21
120,eCash,XEC,$0.00004311,0.23%,-4.70%,"$853,568,730","$44,647,826","19,797,948,422,584 XEC",2024-12-15 10:30:21
121,ZKsync,ZK,$0.2219,1.17%,-4.91%,"$815,607,554","$94,612,341","3,675,000,000 ZK",2024-12-15 10:30:21
122,Notcoin,NOT,$0.00784,0.75%,-4.02%,"$803,302,654","$109,942,452","102,456,957,534 NOT",2024-12-15 10:30:21
123,Amp,AMP,$0.009934,-1.64%,3.60%,"$801,859,141","$164,183,391","80,722,602,040 AMP",2024-12-15 10:30:21
124,Grass,GRASS,$3.25,2.23%,-5.07%,"$793,626,393","$133,023,240","243,905,091 GRASS",2024-12-15 10:30:21
125,Axelar,AXL,$0.8998,1.72%,-3.94%,"$786,392,266","$19,284,656","873,925,270 AXL",2024-12-15 10:30:21
126,Ronin,RON,$2.12,0.42%,-5.28%,"$784,302,277","$22,415,582","370,208,475 RON",2024-12-15 10:30:21
127,Blur,BLUR,$0.3778,0.15%,-12.82%,"$782,853,262","$163,093,470","2,072,337,968 BLUR",2024-12-15 10:30:21
128,Goatseus Maximus,GOAT,$0.7799,1.80%,-13.66%,"$779,921,092","$303,223,261","999,996,557 GOAT",2024-12-15 10:30:21
129,Oasis,ROSE,$0.1068,0.73%,-4.75%,"$754,416,037","$59,660,079","7,064,132,681 ROSE",2024-12-15 10:30:21
130,USDD,USDD,$0.9998,-0.00%,0.19%,"$743,864,923","$1,945,035","744,013,273 USDD",2024-12-15 10:30:21
131,Gnosis,GNO,$282.89,1.53%,-2.52%,"$732,562,763","$6,532,030","2,589,588 GNO",2024-12-15 10:30:21
132,Reserve Rights,RSR,$0.01365,1.04%,-5.66%,"$730,168,324","$58,521,209","53,473,336,211 RSR",2024-12-15 10:30:21
133,ORDI,ORDI,$34.67,0.99%,-4.35%,"$728,003,280","$169,496,299","21,000,000 ORDI",2024-12-15 10:30:21
134,Turbo,TURBO,$0.01106,1.51%,-2.72%,"$722,274,397","$178,101,098","65,300,000,000 TURBO",2024-12-15 10:30:21
135,Terra Classic,LUNC,$0.0001298,-0.20%,-1.63%,"$715,566,652","$67,802,530","5,513,381,374,222 LUNC",2024-12-15 10:30:21
136,LayerZero,ZRO,$6.29,0.97%,-3.77%,"$692,238,649","$116,328,388","110,000,000 ZRO",2024-12-15 10:30:21
137,Baby Doge Coin,BabyDoge,$0.084295,1.17%,-8.17%,"$692,747,546","$202,069,396","161,290,487,874,700,128 BabyDoge",2024-12-15 10:30:21
138,cat in a dogs world,MEW,$0.00772,0.90%,-4.01%,"$686,242,106","$58,272,810","88,888,888,888 MEW",2024-12-15 10:30:21
139,Neiro (First Neiro On Ethereum),NEIRO,$0.001603,1.43%,-5.01%,"$674,341,344","$228,736,906","420,682,679,987 NEIRO",2024-12-15 10:30:21
140,1inch Network,1INCH,$0.4726,0.68%,-5.42%,"$660,232,500","$70,968,061","1,396,883,733 1INCH",2024-12-15 10:30:21
141,Tether Gold,XAUt,"$2,665.55",-0.01%,0.20%,"$657,121,056","$5,048,704","246,524 XAUt",2024-12-15 10:30:21
142,SPX6900,SPX,$0.6718,0.72%,-9.71%,"$625,460,869","$35,797,765","930,993,090 SPX",2024-12-15 10:30:21
