Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply
Jupiter,JUP,$1.12,0.77%,1.96%,17.80%,"$1,511,879,751","$132,561,909","1,350,000,000 JUP"
Arweave,AR,$22.97,0.36%,0.49%,18.67%,"$1,508,173,729","$216,333,246","65,652,466 AR"
IOTA,IOTA,$0.4182,0.52%,0.73%,7.68%,"$1,486,629,827","$102,938,959","3,554,846,536 IOTA"
Tezos,XTZ,$1.46,0.40%,0.39%,15.38%,"$1,487,203,399","$94,563,136","1,018,218,929 XTZ"
Starknet,STRK,$0.6522,0.76%,1.71%,17.35%,"$1,473,580,259","$160,729,996","2,259,283,720 STRK"
Curve DAO Token,CRV,$1.14,0.24%,0.22%,6.40%,"$1,426,217,996","$777,051,848","1,251,867,370 CRV"
Helium,HNT,$8.18,0.22%,1.14%,9.28%,"$1,428,811,532","$23,346,393","174,738,642 HNT"
dYdX (Native),DYDX,$2.16,0.85%,3.29%,6.19%,"$1,392,164,724","$95,571,218","643,931,707 DYDX"
Movement,MOVE,$0.6166,0.49%,6.68%,7.19%,"$1,387,292,119","$462,275,782","2,250,000,000 MOVE"
Core,CORE,$1.44,0.76%,4.42%,9.52%,"$1,335,019,359","$140,608,880","928,635,567 CORE"
MultiversX,EGLD,$47.87,0.36%,1.33%,13.13%,"$1,323,820,929","$84,689,409","27,651,776 EGLD"
Neo,NEO,$18.76,0.57%,2.03%,11.35%,"$1,323,152,483","$72,838,270","70,538,831 NEO"
Bitcoin SV,BSV,$66.61,0.50%,0.78%,19.31%,"$1,318,707,748","$82,087,627","19,796,847 BSV"
BitTorrent [New],BTT,$0.051337,0.05%,1.91%,14.93%,"$1,294,438,328","$42,976,157","968,246,428,571,000 BTT"
XDC Network,XDC,$0.08395,1.26%,3.73%,10.04%,"$1,253,614,738","$45,218,762","14,932,919,360 XDC"
Decentraland,MANA,$0.6412,0.21%,0.39%,16.36%,"$1,245,380,996","$170,669,590","1,942,255,184 MANA"
AIOZ Network,AIOZ,$1.09,0.05%,1.36%,11.83%,"$1,242,107,035","$23,106,495","1,143,234,382 AIOZ"
Axie Infinity,AXS,$7.88,0.70%,0.03%,17.37%,"$1,228,004,819","$118,225,885","155,759,704 AXS"
Peanut the Squirrel,PNUT,$1.22,0.79%,2.53%,10.94%,"$1,216,380,598","$604,114,266","999,854,825 PNUT"
Peanut the Squirrel,PNUT,$1.22,0.79%,2.52%,10.94%,"$1,216,408,493","$604,114,266","999,854,825 PNUT"
ApeCoin,APE,$1.60,0.55%,1.95%,15.62%,"$1,207,441,827","$237,077,408","752,651,515 APE"
Polygon,MATIC,$0.6159,0.53%,0.96%,14.04%,"$1,207,347,927","$8,453,891","1,960,219,180 MATIC"
